Video Title,Video Post Date,Video URL,Video Play Count
pov: labubu mo every 3am #KAIA #WalangBiruanByKAIA,2024-10-12,https://www.youtube.com/watch?v=h8QGVd4SQzs,5446
"Eyes here, ZAIA because #KAIA_ANGELA is here! 🐻🫧",2024-10-10,https://www.youtube.com/watch?v=zlN71NtMN-A,8317
Nakakapagod nakakalula ba ang #KAIA_WalangBiruanDC? Don't worry! Here's #KAIA_CHARLOTTE's entry! 🍊,2024-10-04,https://www.youtube.com/watch?v=QFyz8v7pvDc,5919
'Di mabaon sa limot ang pagka-LSS? Here's #KAIA_SOPHIA's take on #KAIA_WalangBiruanDC 🦊🫧,2024-10-02,https://www.youtube.com/watch?v=tzBRbm1ab18,6689
'Di na ba mapakali? Don't worry! It's your girl #KAIA_ALEXA's time for #WalangBiruanByKAIA 🐉🫧,2024-09-30,https://www.youtube.com/watch?v=zMMDcG-ZWzg,5124
KAIA 'Walang Biruan' Official Music Video,2024-09-27,https://www.youtube.com/watch?v=i7b-r5yszw0,493547
[KAIA Shorts] Sumayaw't Sumunod na ang #HORI7ON sa YOU DID IT! 💜🕺🏻 #호라이즌 #YouDidItbyKAIA #KAIA,2024-09-12,https://www.youtube.com/watch?v=cJz6nm117eg,5560
"[KAIA Shorts] It's Tuesday, but we'll CHOOSE you every day, ZAIA 💜🩵 hUuuUuyYyYyyY❣️#KAIA #KAIATok",2024-09-10,https://www.youtube.com/watch?v=A-TW8mSrhQA,9272
[KAIA Birthday] Sophia 'Red Wine Supernova' (Cover) Live Performance,2024-08-22,https://www.youtube.com/watch?v=DyLh1SKilic,9138
[KAIA Birthday] Sophia 'Red Wine Supernova' (Cover) Live Performance Teaser,2024-08-21,https://www.youtube.com/watch?v=mLgaRbFJ9eY,1338
[KAIA Shorts] YOU DID IT sa ROOM with KAIBIGAN! 💜💙💚 #YOUDIDITbyKAIA #SB19 #KAIA,2024-08-20,https://www.youtube.com/watch?v=F42r2DItsdw,12912
"[KAIA Spotify Milestone] 'TURN UP' has reached over 500,000 Spotify streams 🪩 #KAIA #TURNUPbyKAIA",2024-07-27,https://www.youtube.com/watch?v=CuYe2-y-Wc8,8819
"Thank you po sa pagiging game, Kuya @AlJames! 'Til next time! 🫶🏻#YDIDanceChallenge #YouDidItbyKAIA",2024-06-22,https://www.youtube.com/watch?v=d34FaJKyHN8,6995
@1stOneOfficial did it!! 🫡 Nasaan ang #YDIDanceChallenge ninyo? 🫵🏻 #KAIA #1stOne #PPOPRise,2024-06-21,https://www.youtube.com/watch?v=OmoGP_2YGGg,4727
Bringing pop & making it hip-pop! 🤙🏻 So grateful to share the stage with #JC4L! #JC4LLIVEinSG #KAIA,2024-06-19,https://www.youtube.com/watch?v=fZrYctW0N-w,4116
KAIA 'YOU DID IT' Performance Video,2024-06-10,https://www.youtube.com/watch?v=sESEg17KJaw,79562
Keeping the #PPOPRISE agenda strong! 🙌🏻 Let's relive the #PPOPFEST fan gathering experience! 💜,2024-06-09,https://www.youtube.com/watch?v=fToZtOGSadE,5504
Ridin' the wave of great memories from the #KWAVEMusicFestival! 🌊 Taas kamay sa mga nakapunta 🖐🏻,2024-06-08,https://www.youtube.com/watch?v=KyucyO0gtQQ,1693
Can't get over the amazing energy at #AllOutSundays! 👀📽 #KAIA #YOUDIDITbyKAIA #AOSwithKAIA,2024-06-08,https://www.youtube.com/watch?v=oZqA1qKD75A,7665
Throwback to #KAIA rocking the stage for the EYECONS concert at SSC! ⏳💫 #YOUDIDITbyKAIA,2024-06-07,https://www.youtube.com/watch?v=Yct2nITGyGs,1459
Guess who had a great time performing live on #DapatAlamMo? We absolutely did! 🎤💜 #YOUDIDITbyKAIA,2024-05-31,https://www.youtube.com/watch?v=IkyIl5SrnDs,9277
Cute collab with #YGIG cuties 🥹🤍 You can still join the #YDIDanceChallenge! 🤔 #KAIA #YouDidItbyKAIA,2024-05-30,https://www.youtube.com/watch?v=Nui7GkuJsgQ,9184
Kween Charlotte rlly said kalma and do the #YDIDanceChallenge 😎🍊 #KAIA_PH #YOUDIDIT #YouDidItbyKAIA,2024-05-29,https://www.youtube.com/watch?v=li9T2BCieF4,11084
"Sige lang baby dragon, isayaw mo pa! 🐉🖤 #KAIA_PH #YDIDanceChallenge #YOUDIDIT #YouDidItbyKAIA",2024-05-28,https://www.youtube.com/watch?v=truPs-HMXtE,5482
Nagbubulag-bulagan kahit kitang kita ko 🫣👀 #KAIA #KAIA_ANGELA #YOUDIDITbyKAIA #YOUDIDIT_ANGELA,2024-05-25,https://www.youtube.com/watch?v=iocr1IdJGYg,6987
Lahat ay haharapin 💪💥 #KAIA  #KAIA_CHARICE #YOUDIDITbyKAIA #YOUDIDIT_CHARICE,2024-05-24,https://www.youtube.com/watch?v=8OekgLF-ggg,8967
